Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
02/01/2026	02/28/2026		JPA962080231	JPA962080231	1			GBP		1528307065	Su凸ko D凹koi	.#おじさんのいる生活σ(^_^;)	おポンコツレコーズ		H3		GB				
02/01/2026	02/28/2026		BRB580700099	BRB580700099	1			GBP		978238693	Cris Delanno	True Colors	Living Records Tokyo*		H3		GB				
02/01/2026	02/28/2026		JPA960510166	JPA960510166	1			GBP		74976943	Straightener	Drastic Transposition	Pacific Records		H3		GB				
02/01/2026	02/28/2026		JPA960510156	JPA960510156	1			GBP		74976653	Straightener	Rocksteady	Pacific Records		H3		GB				
02/01/2026	02/28/2026		ITB060500112	ITB060500112	1			GBP		442638655	Panaphonic	Contas Novas	Continental Music		H3		GB				
02/01/2026	02/28/2026		JPA962080230	JPA962080230	1			GBP		1528307064	Su凸ko D凹koi	パンデミックラブストーリー	おポンコツレコーズ		H3		GB				
02/01/2026	02/28/2026		JPTF00906901	JPTF00906901	1			GBP		383563988	GOLLBETTY	IF!	Run Run Run Records		H3		GB				
02/01/2026	02/28/2026		JPA960591427	JPA960591427	2			GBP		74242618	みちしたの音楽	Close to You	Living Records Tokyo*		H3		GB				
02/01/2026	02/28/2026		JPA960510168	JPA960510168	1			GBP		74976989	Straightener	Eagle Shark Panther	Pacific Records		H3		GB				
02/01/2026	02/28/2026		JPB600831103	JPB600831103	1			HKD		310819281	Toki Asako	小麦色のマーメイド	living dining & kitchen Records		H3		HK				
02/01/2026	02/28/2026		JPA960700355	JPA960700355	1			HKD		270003532	Youmou to Ohana	ララルラ ラルララ(バンドバージョン)	Living Records Tokyo		H3		HK				
02/01/2026	02/28/2026		JPA960900069	JPA960900069	8			HKD		455616634	Youmou to Ohana	All You Need Is Love	Living Records Tokyo*/LD&K		H3		HK				
02/01/2026	02/28/2026		JPA960900067	JPA960900067	1			HKD		323943615	Youmou to Ohana	『おやすみ。』	Living Records Tokyo*		H3		HK				
02/01/2026	02/28/2026		JPA961300023	JPA961300023	1			HKD		623192791	Youmou to Ohana	切手のないおくりもの	Living Records Tokyo*		H3		HK				
02/01/2026	02/28/2026		JPA961300022	JPA961300022	1			HKD		623192790	Youmou to Ohana	うたの手紙 - ありがとう	Living Records Tokyo*		H3		HK				
02/01/2026	02/28/2026		JPA961000195	JPA961000195	2			HKD		455616637	Youmou to Ohana	Ice Cream Man	Living Records Tokyo*/LD&K		H3		HK				
02/01/2026	02/28/2026		JPA960710021	JPA960710021	1			HKD		268072984	Toki Asako	September (Kaleido Remix)	Pacific Records		H3		HK				
02/01/2026	02/28/2026		JPA960800134	JPA960800134	2			HKD		294897158	かりゆし58	ナナ	living, dining & kitchen Records		H3		HK				
02/01/2026	02/28/2026		JPA961000169	JPA961000169	1			HKD		376780383	Youmou to Ohana	空が白くてさ	Living Records Tokyo*		H3		HK				
02/01/2026	02/28/2026		JPA960710013	JPA960710013	2			HKD		261601558	極東ラヴァーズオーケストラ	「ラブ・ストーリーは突然に」	Pacific Records		H3		HK				
02/01/2026	02/28/2026		JPA961300016	JPA961300016	1			HKD		623192364	Youmou to Ohana	キリギリアス	Living Records Tokyo*		H3		HK				
02/01/2026	02/28/2026		JPA961010034	JPA961010034	4			HKD		415838413	パク・へジン	運命の轍 -日本語Ver-	LD&K KOREA		H3		HK				
02/01/2026	02/28/2026		JPA960900064	JPA960900064	1			HKD		319469843	Youmou to Ohana	晴れのち晴れ	Living Records Tokyo*		H3		HK				
02/01/2026	02/28/2026		JPA961400015	JPA961400015	1			HKD		847967930	Youmou to Ohana	Yellow Bird	Living Records Tokyo*		H3		HK				
02/01/2026	02/28/2026		JPA960710015	JPA960710015	1			HKD		261602363	極東ラヴァーズオーケストラ	サボテンの花	Pacific Records		H3		HK				
02/01/2026	02/28/2026		JPA961010036	JPA961010036	2			HKD		415838415	パク・へジン	ひゅるり ひゅるり	LD&K KOREA		H3		HK				
02/01/2026	02/28/2026		JPA960900066	JPA960900066	5			HKD		979461010	Youmou to Ohana	晴れのち晴れ	Living Records Tokyo* / Pacific Records		H3		HK				
02/01/2026	02/28/2026		JPA960800127	JPA960800127	2			HKD		455616602	Youmou to Ohana	My Favorite Things	Living Records Tokyo*/LD&K		H3		HK				
02/01/2026	02/28/2026		JPA960710024	JPA960710024	1			HKD		268073909	Toki Asako	Sunday Morning (KGO D&B REMIX)	Pacific Records		H3		HK				
02/01/2026	02/28/2026		JPA960600073	JPA960600073	2			HKD		450124439	かりゆし58	アンマー	Pacific Records		H3		HK				
02/01/2026	02/28/2026		JPA960800124	JPA960800124	1			HKD		284728591	Youmou to Ohana	揺れる	Living Records Tokyo*		H3		HK				
02/01/2026	02/28/2026		JPA960900195	JPA960900195	1			HKD		343512145	Youmou to Ohana	ただいま、おかえり	Living Records Tokyo*		H3		HK				
02/01/2026	02/28/2026		JPA960700211	JPA960700211	3			HKD		455616600	Youmou to Ohana	Englishman In New York	Living Records Tokyo*/LD&K		H3		HK				
02/01/2026	02/28/2026		JPA960710017	JPA960710017	1			HKD		261602891	極東ラヴァーズオーケストラ	Say Yes	Pacific Records		H3		HK				
02/01/2026	02/28/2026		JPA961100166	JPA961100166	2			HKD		455616640	Youmou to Ohana	Over the Rainbow	Living Records Tokyo*/LD&K		H3		HK				
02/01/2026	02/28/2026		JPA960700210	JPA960700210	1			HKD		265839229	Youmou to Ohana	I'll Never Fall In Love Again	LIVING RECORDS TOKYO		H3		HK				
02/01/2026	02/28/2026		JPA960710012	JPA960710012	3			HKD		261601357	極東ラヴァーズオーケストラ	幸せな結末	Pacific Records		H3		HK				
02/01/2026	02/28/2026		JPA960710026	JPA960710026	2			HKD		268074612	Toki Asako	September (Indigo Jam Unit Remix)	Pacific Records		H3		HK				
02/01/2026	02/28/2026		JPA961700085	JPA961700085	1			HKD		1326597481	GOKUMON(UchikubiGokumonDoukoukai)	布団の中から出たくない	Living,Dining&kitchen Records		H3		HK				
02/01/2026	02/28/2026		JPA960710016	JPA960710016	1			HKD		261602775	極東ラヴァーズオーケストラ	La・La・La Love Song	Pacific Records		H3		HK				
02/01/2026	02/28/2026		JPA960900073	JPA960900073	5			HKD		455616635	Youmou to Ohana	Don't Look Back In Anger	Living Records Tokyo*/LD&K		H3		HK				
02/01/2026	02/28/2026		JPA960510227	JPA950510227	1			HKD		89444402	Toki Asako	Norwegian Woods - This Bird Has Flown	Pacific Records		H3		HK				
02/01/2026	02/28/2026		JPA961000190	JPA961000190	1			HKD		383818985	Youmou to Ohana	Sir Duke	Living Records Tokyo*		H3		HK				
02/01/2026	02/28/2026		JPA961300012	JPA961300012	1			HKD		623192360	Youmou to Ohana	ホワイト	Living Records Tokyo*		H3		HK				
02/01/2026	02/28/2026		JPA960710018	JPA960710018	2			HKD		261603111	極東ラヴァーズオーケストラ	悲しみは雪のように	Pacific Records		H3		HK				
02/01/2026	02/28/2026		JPA960700339	JPA960700339	1			HKD		455616601	Youmou to Ohana	So Far Away	Living Records Tokyo*/LD&K		H3		HK				
02/01/2026	02/28/2026		JPA960800130	JPA960800130	1			HKD		284728603	Youmou to Ohana	カントリーロード	Living Records Tokyo*		H3		HK				
02/01/2026	02/28/2026		JPA961100165	JPA961100165	2			HKD		455616639	Youmou to Ohana	Freight Train	Living Records Tokyo*/LD&K		H3		HK				
02/01/2026	02/28/2026		JPA960900068	JPA960900068	1			HKD		323943617	Youmou to Ohana	僕は空にうたう	Living Records Tokyo*		H3		HK				
02/01/2026	02/28/2026		JPA960900073	JPA960900073	1			HKD		323943651	Youmou to Ohana	Don't Look Back In Anger	Living Records Tokyo*		H3		HK				
02/01/2026	02/28/2026		JPA961100164	JPA961100164	4			HKD		455616598	Youmou to Ohana	Doop Doo De Doop	Living Records Tokyo*/LD&K		H3		HK				
02/01/2026	02/28/2026		JPA960900074	JPA960900074	1			HKD		455616636	Youmou to Ohana	Rainbow Sleeves	Living Records Tokyo*/LD&K		H3		HK				
02/01/2026	02/28/2026		JPA960800128	JPA960800128	1			HKD		284728597	Youmou to Ohana	Perfect	Living Records Tokyo*		H3		HK				
02/01/2026	02/28/2026		JPA960800128	JPA960800128	1			HKD		455616633	Youmou to Ohana	Perfect	Living Records Tokyo*/LD&K		H3		HK				
02/01/2026	02/28/2026		JPA960710011	JPA960710011	2			HKD		261601063	極東ラヴァーズオーケストラ	Cross Road	Pacific Records		H3		HK				
02/01/2026	02/28/2026		JPA961210005	JPA961210005	2			HKD		530449681	かりゆし58	言葉にできないこと 言葉がいらないとき 〜復刻盤〜	Pacific Records		H3		HK				
02/01/2026	02/28/2026		JPA960710020	JPA960710020	2			HKD		261603329	極東ラヴァーズオーケストラ	Love Love Love	Pacific Records		H3		HK				
02/01/2026	02/28/2026		JPA961000195	JPA961000195	1			HKD		383818999	Youmou to Ohana	Ice Cream Man	Living Records Tokyo*		H3		HK				
02/01/2026	02/28/2026		JPA960600073	JPA960600073	1			HKD		269855342	かりゆし58	アンマー	RUN RUN RUN Records		H3		HK				
02/01/2026	02/28/2026		JPA960900194	JPA960900194	1			HKD		343512141	Youmou to Ohana	キーラの森	Living Records Tokyo*		H3		HK				
02/01/2026	02/28/2026		JPA960710014	JPA960710014	1			HKD		261602085	極東ラヴァーズオーケストラ	君がいるだけで	Pacific Records		H3		HK				
02/01/2026	02/28/2026		JPA961300013	JPA961300013	1			HKD		623192361	Youmou to Ohana	はだかのピエロ	Living Records Tokyo*		H3		HK				
02/01/2026	02/28/2026		JPA960710019	JPA960710019	1			HKD		261603281	極東ラヴァーズオーケストラ	True Love	Pacific Records		H3		HK				
02/01/2026	02/28/2026		JPA961000196	JPA961000196	8			HKD		455616638	Youmou to Ohana	Desperado	Living Records Tokyo*/LD&K		H3		HK				
02/01/2026	02/28/2026		JPA961300020	JPA961300020	1			HKD		623192368	Youmou to Ohana	Hyperballad	Living Records Tokyo*		H3		HK				
02/01/2026	02/28/2026		JPA961880130	JPA961880130	4			JPY		1439411729	ReVision of Sence	前略、メンヘラ様	BUSU RECORDS		H3		JP				
02/01/2026	02/28/2026		BRB580600034	BRB580600034	4			JPY		979172846	Eduardo Braga	Tears In Heaven	Living Records Tokyo*		H3		JP				
02/01/2026	02/28/2026		JPA960910021	JPA960910021	9			JPY		384649161	かりゆし58	雨のち晴れ	Pacific Records		S3		JP				
02/01/2026	02/28/2026		BRB580700304	BRB580700304	4			JPY		374473128	Monique Kessous	Remember the Time	Living Records Tokyo*		S3		JP				
02/01/2026	02/28/2026		JPA961000209	JPA961000209	2			JPY		389087715	knotlamp	Everlasting stars	Run Run Run Records		H3		JP				
02/01/2026	02/28/2026		JPA961510029	JPA961510029	81			JPY		1050973536	GOKUMON(UchikubiGokumonDoukoukai)	だから貯金がたまらない	Living,Dining&Kitchen Records/Pacific Records		H3		JP				
02/01/2026	02/28/2026		JPA961880122	JPA961880122	3			JPY		1509377225	THE BOYS&GIRLS	国道恍惚線	THE BONSAI RECORDS		H3		JP				
02/01/2026	02/28/2026		JPA960810081	JPA960810081	1			JPY		303076613	かりゆし58	さよなら	Pacific Records		S3		JP				
02/01/2026	02/28/2026		BRB580800008	BRB580800008	16			JPY		277457523	Deco Fiori	A Day In the Life	LD&K International		H3		JP				
02/01/2026	02/28/2026		JPA960500026	JPA960500026	3			JPY		1078148894	かりゆし58	恋人よ	Living,Dining&kitchen Records/Pacific Records		H3		JP				
02/01/2026	02/28/2026		JPA961100241	JPA961100241	5			JPY		479461013	mammy Sino	Anyone Who Had a Heart	Living Records Tokyo*		H3		JP				
02/01/2026	02/28/2026		JPA961400107	JPA961400107	347			JPY		905370457	Unlimited tone	Change	living,dining&kitchen Records		H3		JP				
02/01/2026	02/28/2026		JPA961100206	JPA961100206	1			JPY		468409814	青春シャンプー	Aiaigasa	living, dining & kitchen Records		S3		JP				
02/01/2026	02/28/2026		JPA961100263	JPA961100263	1			JPY		479191313	SKAYWAY	Joy to the World	Continental Music		H3		JP				
02/01/2026	02/28/2026		JPA960600147	JPA960600147	91			JPY		212852388	ガガガSP	My First Kiss	LD&K International		H3		JP				
02/01/2026	02/28/2026		JPA961200269	JPA961200269	28			JPY		590384602	日食なつこ	畷	living,dining&kitchen Records		H3		JP				
02/01/2026	02/28/2026		SE2TQ1100101	SE2TQ1100101	1			JPY		483352978	The Quiet Nights Orchestra	Waves	Continental Music		H3		JP				
02/01/2026	02/28/2026		JPA961900034	JPA961900034	1			JPY		1465209616	ヤングオオハラ	キラキラ	UNCHKeeN RECORDS		H3		JP				
02/01/2026	02/28/2026		JPA961010039	JPA961010039	8			JPY		413625914	かりゆし58	証	Pacific Records		H3		JP				
